action_00,action_01,action_02,action_03,action_04,action_05,action_06,action_07,action_08,action_09,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19
"[-0.20876309275627136,-0.016162440180778503,-0.23444457352161407]","[-0.18514561653137207,-0.08030162006616592,-0.19939181208610535]","[-0.20694226026535034,-0.10415402054786682,-0.24016931653022766]","[-0.19496434926986694,-0.11020426452159882,-0.2408532202243805]","[-0.15518632531166077,-0.11266190558671951,-0.26732051372528076]","[-0.1927609145641327,-0.09532078355550766,-0.19422121345996857]","[-0.1121092140674591,-0.07497328519821167,-0.24114519357681274]","[-0.2478571981191635,-0.13294430077075958,-0.3038896322250366]","[-0.20581553876399994,-0.15201976895332336,-0.2606763243675232]","[-0.24328720569610596,-0.09135293960571289,-0.29573526978492737]","[-0.1837649643421173,-0.0766461119055748,-0.27822399139404297]","[-0.16056771576404572,-0.09405283629894257,-0.3545458912849426]","[-0.23302027583122253,-0.06281913071870804,-0.317994624376297]","[-0.12017080932855606,-0.14170365035533905,-0.30293843150138855]","[-0.15410080552101135,-0.20222407579421997,-0.20934930443763733]","[-0.1873316466808319,-0.17126056551933289,-0.32034534215927124]","[-0.18756067752838135,-0.08635854721069336,-0.25120049715042114]","[-0.0865168422460556,-0.1009608656167984,-0.3059583306312561]","[-0.17508462071418762,0.025427252054214478,-0.16747179627418518]","[-0.16237685084342957,-0.15711428225040436,-0.09713371098041534]"
"[-0.24294567108154297,-0.060406990349292755,-0.2021215856075287]","[-0.2700899541378021,-0.011393889784812927,-0.14014005661010742]","[-0.192236065864563,-0.09203189611434937,-0.12194831669330597]","[-0.2671593129634857,-0.09488756954669952,-0.19316372275352478]","[-0.2276516705751419,-0.07567215710878372,-0.2291860282421112]","[-0.18940114974975586,-0.01516801118850708,-0.17691783607006073]","[-0.22835341095924377,-0.07376143336296082,-0.23181790113449097]","[-0.19127735495567322,-0.18364527821540833,-0.2048938274383545]","[-0.2028413563966751,-0.04714178293943405,-0.23644883930683136]","[-0.24217331409454346,-0.10513775050640106,-0.27955710887908936]","[-0.2548953890800476,-0.1076812818646431,-0.25418001413345337]","[-0.2399846464395523,-0.07614637911319733,-0.2806955873966217]","[-0.24591466784477234,-0.030568130314350128,-0.20832937955856323]","[-0.31312623620033264,-0.10370545834302902,-0.2491351217031479]","[-0.2415628582239151,-0.043212756514549255,-0.2587449252605438]","[-0.25922077894210815,-0.06614157557487488,-0.23400996625423431]","[-0.2618694007396698,-0.06764015555381775,-0.22881194949150085]","[-0.2502313554286957,-0.09270073473453522,-0.12332165241241455]","[-0.19546006619930267,-0.0886879414319992,-0.23166532814502716]","[-0.14732372760772705,-0.07117658853530884,-0.12673598527908325]"
"[-0.17751868069171906,-0.15785406529903412,-0.2036631554365158]","[-0.1962185800075531,-0.07321188598871231,-0.23300273716449738]","[-0.20295368134975433,-0.01518113911151886,-0.18254053592681885]","[-0.1925855427980423,-0.03690718486905098,-0.18559134006500244]","[-0.15427449345588684,-0.04113706946372986,-0.3124818801879883]","[-0.2524205148220062,-0.025859113782644272,-0.2788589298725128]","[-0.0981188639998436,0.08973005414009094,-0.2006523758172989]","[-0.27870887517929077,-0.13318808376789093,-0.23081669211387634]","[-0.22620078921318054,-0.023156754672527313,-0.1642347276210785]","[-0.2323770821094513,-0.17105165123939514,-0.24562157690525055]","[-0.21206945180892944,-0.0703943520784378,-0.25004976987838745]","[-0.17431682348251343,-0.1216205582022667,-0.3188595175743103]","[-0.13441920280456543,-0.13726294040679932,-0.2786322832107544]","[-0.2089625895023346,-0.06115046143531799,-0.3088867962360382]","[-0.11301206052303314,-0.06823541224002838,-0.18965500593185425]","[-0.16478490829467773,-0.1064966544508934,-0.27564573287963867]","[-0.315083771944046,-0.06005561351776123,-0.321555495262146]","[-0.1339506208896637,-0.10826091468334198,-0.2335187792778015]","[-0.24295316636562347,-0.13194327056407928,-0.16638785600662231]","[-0.23460514843463898,-0.11418364942073822,-0.33052918314933777]"
"[-0.17144812643527985,-0.08080235123634338,-0.30024513602256775]","[-0.14737266302108765,-0.057658568024635315,-0.2798849940299988]","[-0.19808322191238403,-0.058013975620269775,-0.240038201212883]","[-0.21960312128067017,-0.07339513301849365,-0.22650162875652313]","[-0.31084486842155457,-0.03546712547540665,-0.28868141770362854]","[-0.2453392595052719,-0.1321302354335785,-0.3125046491622925]","[-0.23805241286754608,-0.10541792958974838,-0.21910208463668823]","[-0.24529874324798584,-0.02561163157224655,-0.26083096861839294]","[-0.2455253005027771,-0.05580057576298714,-0.27141833305358887]","[-0.2978963255882263,-0.10972774028778076,-0.25424259901046753]","[-0.26983150839805603,-0.13110145926475525,-0.27163514494895935]","[-0.32903772592544556,-0.05479484423995018,-0.3115409314632416]","[-0.16973361372947693,-0.02082519233226776,-0.3238847255706787]","[-0.08753292262554169,-0.051993854343891144,-0.2770467698574066]","[-0.10961176455020905,-0.09166382998228073,-0.2553953230381012]","[-0.21587656438350677,-0.05707293748855591,-0.26856639981269836]","[-0.19431893527507782,-0.05518365278840065,-0.08619420230388641]","[-0.2660521864891052,-0.033088646829128265,-0.2945680022239685]","[-0.2873210310935974,-0.0027846843004226685,-0.2577880322933197]","[-0.31250375509262085,-0.15168263018131256,-0.23310302197933197]"
"[-0.19641071557998657,-0.14410637319087982,-0.24086545407772064]","[-0.06429989635944366,-0.08360898494720459,-0.2060348093509674]","[-0.20858879387378693,-0.1343342363834381,-0.10311762988567352]","[-0.17401616275310516,-0.10290035605430603,-0.2147909700870514]","[-0.2205990105867386,-0.08059833943843842,-0.22605131566524506]","[-0.18946149945259094,-0.13032574951648712,-0.21526509523391724]","[-0.28530147671699524,-0.04476363956928253,-0.23048436641693115]","[-0.20725612342357635,-0.04901332035660744,-0.24384382367134094]","[-0.13729168474674225,0.021967299282550812,-0.26795506477355957]","[-0.19098594784736633,-0.11521697044372559,-0.26972299814224243]","[-0.18207751214504242,-0.13264073431491852,-0.3118484914302826]","[-0.22447967529296875,-0.07613345980644226,-0.2159348875284195]","[-0.27252283692359924,-0.15303461253643036,-0.33075380325317383]","[-0.1780013144016266,-0.061340827494859695,-0.38635727763175964]","[-0.3009989261627197,-0.12706845998764038,-0.2818877398967743]","[-0.1821221113204956,-0.11020399630069733,-0.26000943779945374]","[-0.28854918479919434,-0.06901098787784576,-0.2932712733745575]","[-0.20904946327209473,-0.019577696919441223,-0.3283521234989166]","[-0.3829559087753296,-0.13188785314559937,-0.2681977450847626]","[-0.1346486210823059,-0.00734613835811615,-0.23191598057746887]"
"[-0.24377337098121643,-0.036141812801361084,-0.22707508504390717]","[-0.24871240556240082,-0.07920271158218384,-0.18229976296424866]","[-0.2736879289150238,-0.03443637490272522,-0.20985513925552368]","[-0.20001329481601715,-0.09351141005754471,-0.1799549162387848]","[-0.2672339379787445,-0.015346504747867584,-0.24021682143211365]","[-0.25239136815071106,-0.04947042465209961,-0.2470075786113739]","[-0.16807769238948822,-0.09768813103437424,-0.24879512190818787]","[-0.2108798623085022,-0.09233950078487396,-0.22404782474040985]","[-0.2054096758365631,-0.035249967128038406,-0.3225216269493103]","[-0.2131328284740448,-0.03330525755882263,-0.2759059965610504]","[-0.1973278522491455,-0.027762360870838165,-0.2869342267513275]","[-0.24203017354011536,-0.08684785664081573,-0.30157366394996643]","[-0.21278969943523407,-0.1476040631532669,-0.27321672439575195]","[-0.31458038091659546,-0.15920041501522064,-0.346172571182251]","[-0.1936308741569519,-0.08316729217767715,-0.2319255769252777]","[-0.1941736787557602,0.04982787370681763,-0.12399457395076752]","[-0.20214025676250458,-0.0027315765619277954,-0.3754870891571045]","[-0.3369826674461365,-0.08683974295854568,-0.28023937344551086]","[-0.270533949136734,-0.021419867873191833,-0.2828156650066376]","[-0.21627283096313477,-0.17324212193489075,-0.12242162227630615]"
"[-0.19087883830070496,-0.1139964908361435,-0.22370696067810059]","[-0.19477678835391998,-0.09514734148979187,-0.21547704935073853]","[-0.1413874477148056,-0.011353477835655212,-0.14876516163349152]","[-0.21997866034507751,-0.049679845571517944,-0.22935065627098083]","[-0.2808617651462555,-0.10637982189655304,-0.28975415229797363]","[-0.22647985816001892,-0.10087084770202637,-0.2970832884311676]","[-0.23829461634159088,-0.08454897999763489,-0.30451178550720215]","[-0.1891455352306366,-0.08793405443429947,-0.25057899951934814]","[-0.24723586440086365,-0.0597124844789505,-0.3086639940738678]","[-0.2780486047267914,-0.039299726486206055,-0.23594535887241364]","[-0.21176791191101074,-0.08754484355449677,-0.2434692531824112]","[-0.3028314411640167,-0.0846194177865982,-0.2916572093963623]","[-0.20166972279548645,-0.05035542696714401,-0.29270413517951965]","[-0.2526398301124573,-0.038663849234580994,-0.32234346866607666]","[-0.22250691056251526,-0.12235841155052185,-0.33529090881347656]","[-0.27357226610183716,-0.044137414544820786,-0.17930777370929718]","[-0.2642113268375397,-0.024424299597740173,-0.2706751823425293]","[-0.1316792070865631,-0.15158137679100037,-0.19119641184806824]","[-0.20274004340171814,-0.2197425216436386,-0.2617863416671753]","[-0.20085756480693817,-0.040214285254478455,-0.20101985335350037]"
"[-0.5142683982849121,0.09680597484111786,-0.14783413708209991]","[-0.20783160626888275,-0.05824458226561546,-0.17786020040512085]","[-0.1413080245256424,-0.0790763795375824,-0.14885468780994415]","[-0.20186157524585724,-0.08463463187217712,-0.2019493579864502]","[-0.1878288984298706,-0.11998370289802551,-0.25152239203453064]","[-0.27661746740341187,-0.09234599024057388,-0.271897554397583]","[-0.1989811211824417,-0.10404639691114426,-0.24335381388664246]","[-0.23103241622447968,-0.04579608142375946,-0.25007423758506775]","[-0.19604575634002686,-0.06551624089479446,-0.16085854172706604]","[-0.2050684094429016,-0.04710039868950844,-0.2025068998336792]","[-0.1593608856201172,-0.029491979628801346,-0.2308523952960968]","[-0.36324143409729004,-0.058274295181035995,-0.27637553215026855]","[-0.3005381226539612,-0.025548987090587616,-0.31440234184265137]","[-0.20273153483867645,-0.0925583615899086,-0.31328925490379333]","[-0.23205751180648804,-0.13841667771339417,-0.27537158131599426]","[-0.24494242668151855,-0.06363844871520996,-0.1337403804063797]","[-0.13146929442882538,-0.11762399226427078,-0.23711244761943817]","[-0.14953167736530304,-0.12755146622657776,-0.21672777831554413]","[-0.27136218547821045,-0.0064042359590530396,-0.2228473722934723]","[-0.2767469882965088,-0.07522252947092056,-0.14506736397743225]"
"[-0.12827889621257782,-0.02882913500070572,-0.18536370992660522]","[-0.23686273396015167,-0.07612685859203339,-0.21882015466690063]","[-0.20706656575202942,-0.06175480782985687,-0.23191101849079132]","[-0.1921699196100235,-0.061721719801425934,-0.21185541152954102]","[-0.22945548593997955,-0.058888353407382965,-0.20847627520561218]","[-0.1438150405883789,-0.20129825174808502,-0.22641342878341675]","[-0.2618376612663269,-0.06981431692838669,-0.161047101020813]","[-0.20004364848136902,-0.022740013897418976,-0.2993758022785187]","[-0.1521098017692566,-0.04147391766309738,-0.19757407903671265]","[-0.1909002810716629,-0.08302885293960571,-0.21395343542099]","[-0.21257993578910828,-0.08083521574735641,-0.26934829354286194]","[-0.23741668462753296,-0.24502593278884888,-0.3443441092967987]","[-0.10606975853443146,-0.10907068848609924,-0.2544194161891937]","[-0.18331986665725708,-0.25596651434898376,-0.2951792776584625]","[-0.20041464269161224,-0.04484225809574127,-0.16994693875312805]","[-0.19729024171829224,-0.048960957676172256,-0.16376526653766632]","[-0.12440918385982513,-0.23825153708457947,-0.15195146203041077]","[-0.20538993179798126,-0.13457944989204407,-0.25396326184272766]","[-0.1320679485797882,-0.014590531587600708,-0.29238203167915344]","[-0.25296974182128906,0.08246028423309326,-0.2585679292678833]"
"[-0.22649796307086945,-0.0731530413031578,-0.19306278228759766]","[-0.21245065331459045,-0.058484673500061035,-0.22004170715808868]","[-0.1437183916568756,-0.09320779144763947,-0.18101909756660461]","[-0.23744410276412964,-0.028503835201263428,-0.22345328330993652]","[-0.2596501410007477,-0.18854166567325592,-0.23485791683197021]","[-0.16093415021896362,-0.0034493952989578247,-0.35912418365478516]","[-0.25257813930511475,-0.014992304146289825,-0.2461559772491455]","[-0.2185307741165161,-0.0014955326914787292,-0.1685561239719391]","[-0.08521623909473419,0.0741056352853775,-0.25451117753982544]","[-0.2370871901512146,-0.10056304186582565,-0.23080697655677795]","[-0.204879492521286,-0.021308712661266327,-0.2623237371444702]","[-0.11736907064914703,-0.10167960822582245,-0.23954133689403534]","[-0.23886682093143463,-0.12398607283830643,-0.28494900465011597]","[-0.17611068487167358,0.020802393555641174,-0.21453975141048431]","[-0.1834467351436615,-0.12425658106803894,-0.2922227680683136]","[-0.13738316297531128,-0.11989670991897583,-0.31445741653442383]","[-0.16262492537498474,-0.1532529890537262,-0.39110177755355835]","[-0.22558756172657013,0.02756217122077942,-0.3349817097187042]","[-0.15292097628116608,-0.02002175897359848,-0.24176813662052155]","[-0.13410654664039612,-0.11890382319688797,-0.31890156865119934]"
"[-0.16852834820747375,-0.063711017370224,-0.1322077065706253]","[-0.20370817184448242,0.04002659022808075,-0.09269128739833832]","[-0.10905227065086365,-0.03721834719181061,-0.115990549325943]","[-0.20882363617420197,-0.10513453930616379,-0.2443690001964569]","[-0.22813200950622559,-0.1619403064250946,-0.2752288281917572]","[-0.24022476375102997,-0.07418419420719147,-0.2331630289554596]","[-0.11145879328250885,0.0328633189201355,-0.22477716207504272]","[-0.31724607944488525,-0.02459372580051422,-0.2705315947532654]","[-0.21713683009147644,-0.10735779255628586,-0.23500379920005798]","[-0.16469579935073853,-0.0377483032643795,-0.09836560487747192]","[-0.2918059229850769,-0.07234068214893341,-0.15609918534755707]","[-0.2012794017791748,-0.10432083904743195,-0.2985205054283142]","[-0.18520952761173248,-0.14479152858257294,-0.33537915349006653]","[-0.14872640371322632,-0.10372312366962433,-0.33882421255111694]","[-0.20841626822948456,-0.14114294946193695,-0.31121736764907837]","[-0.23135465383529663,-0.09158625453710556,-0.23019996285438538]","[-0.15376123785972595,-0.12552358210086823,-0.28644341230392456]","[-0.1462361067533493,-0.03849475830793381,-0.243583083152771]","[-0.2481151968240738,-0.10186099261045456,-0.2833867073059082]","[-0.13702374696731567,-0.13159216940402985,-0.22098204493522644]"
"[-0.21617837250232697,-0.004096969962120056,-0.22776010632514954]","[-0.18642541766166687,-0.03369668871164322,-0.17560042440891266]","[-0.14250832796096802,-0.02854297310113907,-0.17481136322021484]","[-0.19934503734111786,0.012435615062713623,-0.21993809938430786]","[-0.14872580766677856,-0.12850621342658997,-0.2514219880104065]","[-0.23253101110458374,-0.16045284271240234,-0.2516639232635498]","[-0.21170175075531006,-0.00635017454624176,-0.22390583157539368]","[-0.22089573740959167,-0.07697121798992157,-0.31125909090042114]","[-0.20610570907592773,0.00033055245876312256,-0.26590174436569214]","[-0.23439601063728333,-0.10450943559408188,-0.22790664434432983]","[-0.2320822775363922,-0.05207780748605728,-0.32132700085639954]","[-0.2182314097881317,-0.11661931127309799,-0.296536386013031]","[-0.19487783312797546,-0.07116977125406265,-0.27976754307746887]","[-0.29006239771842957,0.07471472024917603,-0.25857481360435486]","[-0.2790529429912567,-0.0036803334951400757,-0.3665655851364136]","[-0.1349603682756424,-0.036729246377944946,-0.21840712428092957]","[-0.20418888330459595,-0.11519338190555573,-0.24196991324424744]","[-0.31852030754089355,-0.16392965614795685,-0.23518715798854828]","[-0.20185424387454987,-0.06802298873662949,-0.10167737305164337]","[-0.23114681243896484,0.044204503297805786,-0.1888129860162735]"
"[-0.18590280413627625,-0.10747332870960236,-0.3001841902732849]","[-0.2605332136154175,-0.04934726282954216,-0.2563323974609375]","[-0.19786810874938965,-0.0848468691110611,-0.20934563875198364]","[-0.20511798560619354,-0.13361388444900513,-0.2814026474952698]","[-0.22356660664081573,-0.05456544831395149,-0.15292878448963165]","[-0.1561165153980255,-0.06962014734745026,-0.20374330878257751]","[-0.15194788575172424,0.014836415648460388,-0.22360257804393768]","[-0.20331460237503052,-0.11968046426773071,-0.31144818663597107]","[-0.22700512409210205,0.004631936550140381,-0.20504918694496155]","[-0.3834896683692932,-0.07595056295394897,-0.2791440784931183]","[-0.15901973843574524,-0.0876690000295639,-0.23030529916286469]","[-0.20551812648773193,-0.07005453109741211,-0.3081873953342438]","[-0.24822595715522766,-0.16836494207382202,-0.2694186270236969]","[-0.2072906792163849,-0.09665681421756744,-0.25349709391593933]","[-0.20269760489463806,-0.03475906699895859,-0.21502946317195892]","[-0.23864538967609406,-0.12267518043518066,-0.19617187976837158]","[-0.28692954778671265,-0.16466544568538666,-0.22698862850666046]","[-0.2690780758857727,-0.060961611568927765,-0.17988142371177673]","[-0.13382402062416077,-0.11481732130050659,-0.2273007333278656]","[-0.37291961908340454,0.05855928361415863,-0.2168930470943451]"
"[-0.26208579540252686,0.01814652979373932,-0.2591403126716614]","[-0.19556519389152527,0.0006029456853866577,-0.20310154557228088]","[-0.2587461769580841,-0.07403214275836945,-0.2569047808647156]","[-0.1878228485584259,-0.06281334906816483,-0.1470685601234436]","[-0.23554256558418274,-0.12808528542518616,-0.2048124074935913]","[-0.18354642391204834,-0.05705978721380234,-0.25804397463798523]","[-0.23189878463745117,-0.08158854395151138,-0.1801658570766449]","[-0.26687103509902954,-0.0736948549747467,-0.25938183069229126]","[-0.15154336392879486,-0.025905899703502655,-0.23920395970344543]","[-0.24539299309253693,-0.12077375501394272,-0.30718785524368286]","[-0.18520137667655945,-0.03382182866334915,-0.31289735436439514]","[-0.2571898102760315,-0.043159451335668564,-0.18164193630218506]","[-0.2757822573184967,-0.08112179487943649,-0.1829013079404831]","[-0.28661268949508667,0.0473756343126297,-0.2666230797767639]","[-0.23683196306228638,-0.05301292613148689,-0.2749355733394623]","[-0.16531014442443848,-0.19731320440769196,-0.2877465784549713]","[-0.25898200273513794,-0.10984255373477936,-0.26483821868896484]","[-0.2482697069644928,-0.21020598709583282,-0.2674374282360077]","[-0.16746437549591064,-0.15384168922901154,-0.341817170381546]","[-0.32076913118362427,-0.07116316258907318,-0.15067869424819946]"
"[-0.1310373991727829,-0.04784934222698212,-0.19037683308124542]","[-0.2441166639328003,-0.06499772518873215,-0.16896569728851318]","[-0.20493635535240173,-0.11537246406078339,-0.22607839107513428]","[-0.25334134697914124,0.024940714240074158,-0.20691922307014465]","[-0.2601006329059601,-0.04768046364188194,-0.18796315789222717]","[-0.2112504541873932,-0.0997108593583107,-0.262616366147995]","[-0.20648826658725739,-0.08487727493047714,-0.2131378948688507]","[-0.2757658362388611,-0.01061500608921051,-0.2785520553588867]","[-0.24104821681976318,0.035698696970939636,-0.24206238985061646]","[-0.21862724423408508,-0.08020596206188202,-0.281263142824173]","[-0.2211495041847229,-0.03779345750808716,-0.3221263587474823]","[-0.19797460734844208,-0.11205033957958221,-0.2716822624206543]","[-0.23593732714653015,-0.051722023636102676,-0.48077934980392456]","[-0.20193123817443848,-0.0850105732679367,-0.2928781807422638]","[-0.24913108348846436,-0.08582548052072525,-0.31240788102149963]","[-0.15420344471931458,0.02005217969417572,-0.18838286399841309]","[-0.22404968738555908,-0.08405718207359314,-0.23285232484340668]","[-0.11214316636323929,-0.09384994208812714,-0.19011324644088745]","[-0.21396280825138092,-0.15453210473060608,-0.24466471374034882]","[-0.1658119559288025,-0.030973203480243683,-0.17787885665893555]"
"[-0.10527881979942322,-0.11225937306880951,-0.31996893882751465]","[-0.1690596044063568,-0.12998992204666138,-0.2893625795841217]","[-0.18757829070091248,-0.025745682418346405,-0.22811810672283173]","[-0.16466423869132996,-0.07204492390155792,-0.2435520589351654]","[-0.116228386759758,0.02750849723815918,-0.3393964171409607]","[-0.15682724118232727,0.08562545478343964,-0.20991064608097076]","[-0.15496791899204254,0.03777378797531128,-0.18838943541049957]","[-0.23395319283008575,-0.06427226960659027,-0.2866328954696655]","[-0.23376435041427612,-0.04651482403278351,-0.2692818343639374]","[-0.08167940378189087,0.10773371160030365,-0.18173393607139587]","[-0.1747252643108368,-0.1330859661102295,-0.29745036363601685]","[-0.2501205801963806,-0.10123293101787567,-0.29354628920555115]","[-0.22341497242450714,-0.10256890952587128,-0.2975240647792816]","[-0.29515618085861206,0.028915077447891235,-0.22845670580863953]","[-0.11253786087036133,-0.08020836114883423,-0.2124091535806656]","[-0.2624286413192749,0.024559780955314636,-0.25216320157051086]","[-0.19775773584842682,-0.08666190505027771,-0.22360098361968994]","[-0.23505257070064545,-0.0007094442844390869,-0.22542235255241394]","[-0.10795760899782181,-0.13962875306606293,-0.3140468895435333]","[-0.22675727307796478,-0.030750378966331482,-0.21530097723007202]"
"[-0.2581704258918762,-0.10479961335659027,-0.27846723794937134]","[-0.17451345920562744,-0.009496226906776428,-0.20415541529655457]","[-0.226119726896286,-0.0801704004406929,-0.3057478368282318]","[-0.14870503544807434,-0.13931521773338318,-0.2630448043346405]","[-0.14752477407455444,-0.17783083021640778,-0.2173929661512375]","[-0.17945487797260284,-0.08499713987112045,-0.1647750437259674]","[-0.1635071039199829,-0.10155825316905975,-0.3208293318748474]","[-0.17750272154808044,-0.03586842864751816,-0.23257717490196228]","[-0.22146344184875488,-0.23888030648231506,-0.27471399307250977]","[-0.16739079356193542,-0.09290604293346405,-0.2382451444864273]","[-0.19358119368553162,-0.13768744468688965,-0.26023390889167786]","[-0.23037949204444885,-0.14481498301029205,-0.3388870656490326]","[-0.16970780491828918,-0.13847771286964417,-0.3192365765571594]","[-0.23339390754699707,-0.12526121735572815,-0.3466000556945801]","[-0.2588752210140228,-0.10438321530818939,-0.22287309169769287]","[-0.12609437108039856,-0.14504168927669525,-0.2610613703727722]","[-0.015409991145133972,-0.30319833755493164,-0.15335437655448914]","[-0.20783790946006775,-0.19641602039337158,-0.3059709966182709]","[-0.09404143691062927,-0.15058545768260956,-0.34774792194366455]","[-0.18934904038906097,-0.12866291403770447,-0.24594153463840485]"
"[-0.3164862096309662,0.041300609707832336,-0.13709835708141327]","[-0.18446482717990875,-0.08988465368747711,-0.16874228417873383]","[-0.24355991184711456,-0.09477730840444565,-0.2548398971557617]","[-0.2127292901277542,-0.010272838175296783,-0.18132244050502777]","[-0.26634344458580017,0.006187468767166138,-0.3030969798564911]","[-0.14731210470199585,0.034229129552841187,-0.20167507231235504]","[-0.15029996633529663,-0.007979191839694977,-0.19707834720611572]","[-0.09541690349578857,-0.07112163305282593,-0.1556929051876068]","[-0.17910757660865784,-0.12250355631113052,-0.22584491968154907]","[-0.19406463205814362,0.0031949281692504883,-0.18385843932628632]","[-0.16829678416252136,0.07049836218357086,-0.2853122651576996]","[-0.23290875554084778,-0.09482242912054062,-0.24717620015144348]","[-0.2855243980884552,-0.13888640701770782,-0.18509644269943237]","[-0.23731282353401184,-0.16682720184326172,-0.3075173795223236]","[-0.1975097954273224,-0.078624427318573,-0.2739720642566681]","[-0.24638888239860535,-0.05500248447060585,-0.2030951827764511]","[-0.09889869391918182,-0.03427428752183914,-0.20396417379379272]","[-0.20615793764591217,-0.19454434514045715,-0.30034905672073364]","[-0.20407114923000336,-0.17537163197994232,-0.2905115485191345]","[-0.19398905336856842,-0.1141381710767746,-0.3080042898654938]"
"[-0.3015648126602173,-0.1633400022983551,-0.1794939488172531]","[-0.2394929826259613,-0.07539508491754532,-0.21084809303283691]","[-0.18111830949783325,-0.07700228691101074,-0.18620610237121582]","[-0.17545360326766968,0.012028738856315613,-0.24249328672885895]","[-0.20825906097888947,-0.08501847833395004,-0.21958574652671814]","[-0.22397968173027039,-0.09298782050609589,-0.16159890592098236]","[-0.23434792459011078,-0.015395328402519226,-0.2553660571575165]","[-0.21390217542648315,-0.07400722801685333,-0.2237507700920105]","[-0.23522698879241943,-0.04441375285387039,-0.273338258266449]","[-0.23309604823589325,-0.047346919775009155,-0.24317127466201782]","[-0.24851234257221222,-0.09072209894657135,-0.24290946125984192]","[-0.18638992309570312,-0.08317767828702927,-0.26390814781188965]","[-0.28958356380462646,-0.09629805386066437,-0.2886498272418976]","[-0.2096811830997467,-0.05250220000743866,-0.23857751488685608]","[-0.2108745127916336,-0.05977149307727814,-0.2698529362678528]","[-0.1947302371263504,-0.030185632407665253,-0.17598122358322144]","[-0.2993932366371155,0.004732385277748108,-0.14882011711597443]","[-0.1794009804725647,-0.08801577240228653,-0.20601913332939148]","[-0.2924933135509491,-0.03611529618501663,-0.20328253507614136]","[-0.2912111282348633,0.07078714668750763,-0.041520342230796814]"
"[-0.2482958436012268,-0.04010331258177757,-0.22154894471168518]","[-0.17103105783462524,-0.028113804757595062,-0.22656211256980896]","[-0.20705708861351013,-0.11832402646541595,-0.18976084887981415]","[-0.2428298443555832,-0.09982513636350632,-0.19958952069282532]","[-0.22787611186504364,-0.056023068726062775,-0.13202261924743652]","[-0.13236504793167114,-0.009248413145542145,-0.20545107126235962]","[-0.2054508775472641,-0.09685176610946655,-0.22236384451389313]","[-0.22910061478614807,-0.11823932826519012,-0.326012521982193]","[-0.24461907148361206,-0.08564488589763641,-0.2669387757778168]","[-0.15706902742385864,0.01969371736049652,-0.1865057647228241]","[-0.2680339813232422,0.015463516116142273,-0.23309734463691711]","[-0.3291837275028229,-0.06786385178565979,-0.2868489921092987]","[-0.11266404390335083,-0.06234269589185715,-0.23912864923477173]","[-0.14849281311035156,-0.13969382643699646,-0.37266090512275696]","[-0.22925083339214325,-0.06741130352020264,-0.26366519927978516]","[-0.09992054104804993,0.01649974286556244,-0.23876245319843292]","[-0.3114490509033203,-0.08899849653244019,-0.2598055899143219]","[-0.28269144892692566,-0.06547191739082336,-0.16434842348098755]","[-0.2232242226600647,-0.3320996165275574,-0.2505122721195221]","[-0.17208236455917358,0.051618605852127075,-0.14962714910507202]"
"[-0.18744003772735596,-0.03127729892730713,-0.21184933185577393]","[-0.269357830286026,-0.05787341669201851,-0.23430222272872925]","[-0.1639421284198761,-0.02121487259864807,-0.1756393015384674]","[-0.22028028964996338,-0.17486976087093353,-0.24903614819049835]","[-0.16277171671390533,-0.0509517677128315,-0.1754041165113449]","[-0.1501636952161789,-0.07900378853082657,-0.10737589001655579]","[-0.17592304944992065,-0.052327435463666916,-0.20278584957122803]","[-0.16739925742149353,-0.038870565593242645,-0.2712564468383789]","[-0.3403671383857727,-0.029094021767377853,-0.11756274104118347]","[-0.2073829025030136,-0.10226739197969437,-0.2979908883571625]","[-0.26834753155708313,-0.0675448328256607,-0.29604223370552063]","[-0.19103848934173584,-0.13436715304851532,-0.3032780587673187]","[-0.2745424509048462,-0.2760651707649231,-0.29464060068130493]","[-0.23371857404708862,-0.061329059302806854,-0.3088350296020508]","[-0.2500869631767273,-0.07711337506771088,-0.3150027096271515]","[-0.2539537250995636,-0.03741630166769028,-0.23885999619960785]","[-0.1538974642753601,-0.13515734672546387,-0.20589661598205566]","[-0.0783986747264862,-0.19723936915397644,-0.32462772727012634]","[-0.2614266872406006,-0.16989891231060028,-0.15686313807964325]","[-0.2167399376630783,-0.0599525086581707,-0.21944478154182434]"
